,id,mssubclass,lotconfig,neighborhood,bldgtype,housestyle,yearbuilt,yearremod/add,roofstyle,roofmatl,masvnrtype,masvnrarea,foundation,totalbsmtsf,grlivarea,fullbath,totrmsabvgrd,garagefinish,garagecars,saletype,saleprice,agesold,total_sqft,totalqual,combined_exterior
0,109,60,CulDSac,Sawyer,1Fam,2Story,1976,2005,Gable,CompShg,BrkFace,289.0,CBlock,725.0,1479,2,6,2.0,2.0,WD ,130500,34,2679.0,17.0,HdBoardPlywood
1,544,60,CulDSac,SawyerW,1Fam,2Story,1996,1997,Gable,CompShg,BrkFace,132.0,PConc,913.0,2122,2,8,2.0,2.0,WD ,220000,13,3594.0,19.0,VinylSdVinylSd
2,153,20,Inside,NAmes,1Fam,1Story,1953,2007,Gable,CompShg,None,0.0,CBlock,1057.0,1057,1,5,1.0,1.0,WD ,109000,57,2360.0,15.0,VinylSdVinylSd
3,318,60,Inside,Timber,1Fam,2Story,2006,2007,Gable,CompShg,None,0.0,PConc,384.0,1444,2,7,3.0,2.0,WD ,174000,4,2228.0,15.0,VinylSdVinylSd
4,255,50,Inside,SawyerW,1Fam,1.5Fin,1900,1993,Gable,CompShg,None,0.0,PConc,676.0,1445,2,6,1.0,2.0,WD ,138500,110,2605.0,14.0,Wd SdngPlywood
5,138,20,Corner,NAmes,1Fam,1Story,1966,2002,Gable,CompShg,None,0.0,CBlock,1517.0,1888,2,6,3.0,2.0,WD ,190000,44,3983.0,17.0,BrkFacePlywood
6,2827,180,Inside,Edwards,TwnhsE,SFoyer,2005,2006,Gable,CompShg,BrkFace,82.0,PConc,547.0,1072,2,5,3.0,2.0,New,140000,1,2144.0,16.0,VinylSdVinylSd
7,145,20,Inside,NAmes,1Fam,1Story,1959,1959,Hip,CompShg,BrkFace,180.0,CBlock,1188.0,1188,1,6,2.0,2.0,COD,142000,51,2907.0,14.0,PlywoodPlywood
8,1942,20,Inside,OldTown,1Fam,1Story,1952,1952,Gable,CompShg,None,0.0,CBlock,924.0,924,1,6,1.0,1.0,WD ,112500,55,2268.0,14.0,Wd SdngWd Sdng
9,1956,60,Inside,NAmes,1Fam,2Story,1969,1969,Gable,CompShg,BrkFace,192.0,PConc,1040.0,2080,1,9,1.0,2.0,WD ,135000,38,3624.0,14.0,PlywoodPlywood
10,1044,160,Inside,BrDale,Twnhs,2Story,1971,1971,Gable,CompShg,BrkFace,232.0,CBlock,483.0,987,1,4,1.0,1.0,COD,85400,37,1734.0,15.0,HdBoardHdBoard
11,2752,20,Inside,CollgCr,1Fam,1Story,2005,2005,Gable,CompShg,None,0.0,PConc,1208.0,1208,2,6,2.0,2.0,WD ,183600,1,3048.0,19.0,VinylSdVinylSd
12,807,70,FR2,SawyerW,1Fam,2Story,1880,2007,Gable,CompShg,None,0.0,PConc,0.0,2016,1,7,1.0,2.0,WD ,131000,129,2592.0,12.0,HdBoardHdBoard
13,1177,160,Inside,Somerst,Twnhs,2Story,1999,2000,Gable,CompShg,BrkFace,456.0,PConc,960.0,1607,2,7,1.0,2.0,ConLD,200000,9,3047.0,20.0,MetalSdMetalSd
14,1480,20,Inside,CollgCr,1Fam,1Story,2007,2007,Gable,CompShg,None,0.0,PConc,1351.0,1361,2,6,2.0,2.0,WD ,193000,1,3322.0,19.0,VinylSdVinylSd
15,324,20,Inside,Mitchel,1Fam,1Story,2004,2005,Gable,CompShg,None,0.0,PConc,1430.0,1430,2,7,2.0,2.0,WD ,173500,6,3484.0,17.0,VinylSdVinylSd
16,1311,70,Inside,OldTown,1Fam,2Story,1916,1950,Gable,CompShg,None,0.0,BrkTil,624.0,1344,1,7,1.0,3.0,COD,98000,92,2481.0,14.0,AsbShngAsbShng
17,770,20,Corner,Sawyer,1Fam,1Story,1963,1963,Gable,CompShg,None,0.0,PConc,1121.0,1121,1,5,1.0,2.0,WD ,139000,46,2722.0,14.0,VinylSdVinylSd
18,2063,20,Inside,Sawyer,1Fam,1Story,1977,1977,Gable,CompShg,BrkFace,148.0,CBlock,660.0,1285,1,7,2.0,2.0,WD ,143500,30,2473.0,15.0,PlywoodPlywood
19,69,60,Inside,Somerst,1Fam,2Story,2009,2009,Gable,CompShg,None,0.0,PConc,756.0,1547,2,7,1.0,2.0,Con,215200,1,2917.0,18.0,VinylSdVinylSd
20,2062,20,Inside,Sawyer,1Fam,1Story,1968,1968,Gable,CompShg,None,0.0,CBlock,894.0,894,1,5,3.0,2.0,WD ,129000,39,2238.0,15.0,VinylSdVinylSd
21,351,120,Inside,StoneBr,TwnhsE,1Story,2000,2000,Gable,CompShg,None,0.0,PConc,1501.0,1659,2,5,3.0,2.0,WD ,278000,9,3659.0,21.0,CemntBdCemntBd
22,2393,60,Corner,NridgHt,1Fam,2Story,2005,2006,Gable,CompShg,None,0.0,PConc,1209.0,2253,2,8,3.0,2.0,New,344133,1,4037.0,22.0,CemntBdCemntBd
23,12,20,Inside,Gilbert,1Fam,1Story,1992,2007,Gable,CompShg,None,0.0,PConc,1168.0,1187,2,6,3.0,2.0,WD ,185000,18,2775.0,16.0,HdBoardHdBoard
24,2339,190,Inside,Gilbert,2fmCon,1Story,1955,1955,Hip,CompShg,None,0.0,CBlock,1056.0,1056,1,5,3.0,2.0,WD ,145000,51,2684.0,14.0,Wd SdngWd Sdng
25,624,20,Corner,NAmes,1Fam,1Story,1961,1961,Hip,CompShg,BrkFace,3.0,CBlock,1453.0,1453,2,6,2.0,2.0,WD ,187500,48,3436.0,15.0,MetalSdMetalSd
26,86,20,Inside,Sawyer,1Fam,1Story,1965,2009,Gable,CompShg,None,0.0,CBlock,894.0,894,1,5,1.0,1.0,WD ,138500,45,2124.0,14.0,MetalSdMetalSd
27,1534,50,Inside,Crawfor,1Fam,1.5Fin,1937,1995,Gable,CompShg,None,0.0,CBlock,942.0,1938,2,7,1.0,1.0,WD ,198000,71,3120.0,15.0,WdShingWdShing
28,2243,190,Inside,IDOTRR,2fmCon,2Story,1895,2006,Gable,CompShg,None,0.0,CBlock,957.0,1991,2,9,0.0,0.0,WD ,119600,112,2948.0,14.0,VinylSdVinylSd
29,1957,50,Corner,NAmes,1Fam,1.5Fin,1949,2006,Gable,CompShg,None,0.0,CBlock,672.0,924,1,6,1.0,2.0,WD ,122900,58,2172.0,14.0,MetalSdMetalSd
30,380,20,Inside,NWAmes,1Fam,1Story,1981,1981,Hip,WdShngl,None,0.0,PConc,2524.0,2524,2,9,3.0,2.0,WD ,278000,28,5590.0,20.0,BrkFaceBrkFace
31,2860,70,Corner,Crawfor,1Fam,2Story,1929,1950,Gable,CompShg,None,0.0,PConc,792.0,1517,1,7,1.0,2.0,WD ,230000,77,2709.0,19.0,BrkFaceStucco
